tax.Kingdom,tax.Supergroup,tax.Division,tax.Class,tax.Order,tax.Family,tax.Genus,tax.Species,boot.Kingdom,boot.Supergroup,boot.Division,boot.Class,boot.Order,boot.Family,boot.Genus,boot.Species
Eukaryota,Alveolata,Ciliophora,Spirotrichea,Tintinnida,TIN_11,Helicostomella,Helicostomella_subulata,100,100,100,100,100,100,69,69
Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Pseudodiaptomus,Pseudodiaptomus_euryhalinus,100,100,100,99,99,99,36,22
Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,Asterionellopsis,Asterionellopsis_glacialis,100,100,100,100,100,100,100,100
Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Thalassiosira,Thalassiosira_anguste-lineata,100,100,100,100,100,100,90,68
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-4,Dino-Group-II-Clade-4_X,Dino-Group-II-Clade-4_X_sp.,100,100,100,100,100,100,92,92
Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Corethron,Corethron_hystrix,100,100,100,100,100,100,100,100
Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Thalassiosira,Thalassiosira_sp.,100,100,100,100,100,100,80,63
Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Teleaulax,Teleaulax_gracilis,100,100,100,100,100,100,100,100
Eukaryota,Hacrobia,Picozoa,Picozoa_X,Picozoa_XX,Picozoa_XXX,Picozoa_XXXX,Picozoa_XXXX_sp.,100,100,100,100,100,100,100,100
Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Strombidiidae_R,Strombidium_R,Strombidium_R_sp.,100,100,100,100,100,100,100,100
