,BR10,BR2,BR3,BR4,BR5,BR6,BR7,BR9,ER1,ER10,ER11,ER12,ER13,ER14,ER15,ER16,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,JP1,JP2,JP3,JP4,JP5,JP7,JP8,JP9,KB1,KB10,KB2,KB3,KB4,KB5,KB6,KB9,NM3,NM4,NM5,NM6,NM9,PI1,PI2,PI3,PI4,PI5,PI7,PI8,PI9,WR1,WR10,WR2,WR3,WR4,WR5,WR6,WR7,WR8
ASV0501,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0
ASV0502,0,0,0,0,0,0,0,0,0,0,75,74,98,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,57,65,0,0,0,0
ASV0504,0,0,0,0,0,0,0,0,0,11,39,56,57,83,56,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0505,0,0,0,11,0,0,0,8,58,0,0,0,0,0,0,0,34,43,24,0,20,0,18,0,0,0,0,0,0,0,0,0,0,0,0,8,50,0,0,0,0,0,13,0,0,0,27,0,0,0,0,0,0,0,0,0,37,8,0,0,0,0
ASV0506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,10,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0
ASV0507,0,0,0,0,18,0,0,0,50,0,0,0,0,0,0,0,56,102,48,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,12,0
ASV0508,0,0,0,0,0,0,0,0,29,0,23,20,27,32,13,0,34,41,14,21,16,7,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,16,0,0,0
ASV0509,0,0,0,0,0,0,0,0,0,0,32,24,18,40,37,21,6,0,0,8,0,0,13,20,0,0,0,0,30,0,0,0,0,0,2,0,0,25,0,0,0,0,0,0,0,8,0,0,0,46,0,0,0,0,0,0,4,0,11,6,0,0
ASV0510,0,0,0,0,0,0,0,0,0,0,106,67,80,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0511,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,33,13,16,26,28,0,0,13,0,0,0,10,0,0,0,0,0,0,0,0,18,0,0,0,9,0,0,0,0,0,0,107,19,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0512,0,0,0,0,0,0,0,0,17,26,9,13,25,19,9,0,9,7,8,0,0,25,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,39,0,0,72
ASV0513,0,0,0,0,9,0,0,0,23,25,0,0,0,0,0,0,23,36,50,19,9,0,15,19,0,0,0,0,0,0,0,0,0,14,0,0,20,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,16,0,0,13
ASV0514,5,0,23,51,17,0,0,0,24,19,0,0,14,19,0,0,20,10,14,10,7,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,30,0,0,0
ASV0515,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,16,35,0,15,0,0,155,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0
ASV0516,16,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0517,0,0,0,0,0,0,0,0,31,34,0,28,0,39,0,0,39,17,0,0,0,21,29,36,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,19,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0518,0,26,0,0,0,0,0,0,44,0,0,0,0,0,0,0,61,0,19,0,13,0,0,0,0,0,9,16,0,0,0,0,0,0,0,39,0,0,0,18,0,15,0,0,0,15,0,22,15,12,0,0,0,0,0,0,0,9,0,0,0,0
ASV0519,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,29,0,223,0,0,0,0,0,0,0,0,0,0,0,0
ASV0520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0521,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0522,0,0,0,0,0,0,0,0,28,9,0,0,26,17,20,0,41,24,10,15,24,0,12,12,0,0,0,0,0,0,0,5,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,8,7,0,0,0,0
ASV0523,0,0,9,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,10,0,9,0,10,0,0,0,0,0,0,0,0,8,0,79,44,0,0,0,35,65,0,0,0,12,0,0,0,0,0,0
ASV0524,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,46,0,0,16,8
ASV0525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0526,0,0,0,0,0,0,0,0,0,44,0,0,31,32,0,0,0,0,0,0,0,19,35,30,0,0,0,0,0,0,0,0,0,0,0,0,44,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0
ASV0527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0528,0,0,0,0,0,0,0,0,0,23,22,17,35,30,15,35,0,0,0,0,0,30,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0
ASV0529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,38
ASV0531,0,0,0,0,0,0,0,15,68,0,0,0,0,0,0,0,76,67,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
ASV0532,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,239,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0533,0,0,0,0,0,0,0,0,0,0,4,8,0,11,0,0,0,6,0,0,0,0,0,7,49,0,0,32,0,17,0,40,0,6,8,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,9,14,0,27,0
ASV0534,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0535,15,6,85,39,29,5,9,20,0,0,0,0,0,0,0,5,0,0,0,0,0,5,11,0,0,0,0,22,10,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,17,0,0,0,0,0
ASV0536,0,51,0,0,0,0,0,3,17,0,0,0,0,0,0,0,18,15,0,26,20,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3,70,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0537,0,0,0,0,0,0,0,0,0,20,32,11,16,25,8,5,0,0,4,0,0,12,23,27,0,0,0,0,0,0,0,0,0,0,0,0,45,12,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
ASV0538,0,0,11,0,0,0,0,0,0,32,0,0,0,7,9,5,0,6,0,0,7,0,17,41,7,0,10,0,13,0,0,0,0,0,0,0,23,10,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,31,0,0,18,0,21,0,0,0
ASV0539,0,0,7,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,16,0,0,215,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
ASV0540,0,0,12,0,0,0,0,0,35,33,0,19,0,0,0,0,51,0,18,36,21,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
ASV0541,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,58,0,0,9,17,0,0,0,0,0,45,41,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,19,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0542,0,0,0,0,0,0,0,0,32,0,60,27,0,23,0,23,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,39,0,14,0,0,0,13,0,0,28,0,0,0,0,0
ASV0543,0,9,0,0,0,0,76,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,10,33,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,40,0,0,0,0,0,0,0,0,0
ASV0544,0,35,8,9,59,0,0,14,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,25,25,0,0,61,0,0,0
ASV0545,0,0,0,0,0,0,0,0,0,38,34,36,43,39,27,41,11,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,110,0,0,0,0,0,148,11,0,0,0,0,0,0,0,0,0
ASV0547,0,0,0,0,0,0,0,32,9,24,0,0,0,0,0,0,0,16,0,0,7,30,34,28,0,0,0,57,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0548,0,0,0,0,0,0,0,0,0,18,72,60,38,66,0,0,0,15,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,37,0,0,0,0,0,0,0,0,0,22,0,15,0,0,0,0,0,0,0,0,0
ASV0550,0,0,0,0,0,0,0,0,0,0,46,26,36,38,13,24,0,0,0,0,0,11,21,6,0,0,0,0,0,0,0,10,0,0,6,0,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ASV0551,0,4,35,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,68,0,0,0,0
ASV0552,0,0,50,0,0,0,0,0,12,0,31,0,30,28,0,0,0,0,0,21,19,0,0,0,0,15,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
ASV0553,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,11,0,0,99,77,0,0,0
ASV0554,0,0,0,0,0,0,0,0,25,5,27,13,19,24,11,21,24,20,19,9,0,10,0,5,0,0,0,0,5,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,12,8,0,0,0
ASV0555,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,25,0,0,0,0,0,0,32,52,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,15,0
ASV0556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,26,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,11,0,0,0,35,0
ASV0557,0,15,0,0,0,0,0,0,7,13,26,14,30,22,22,9,9,11,4,0,8,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,15,0,0,8,0,20,0,0,0
ASV0558,0,0,0,0,0,0,0,0,20,15,0,0,0,14,0,0,0,0,0,31,0,21,0,10,0,0,0,0,12,0,0,0,0,0,0,0,68,20,0,0,23,0,0,0,0,0,0,12,0,20,0,0,0,0,0,0,0,0,11,0,0,0
ASV0559,0,0,0,0,0,0,0,0,17,27,0,17,10,0,10,0,0,0,0,0,18,25,46,24,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
ASV0560,0,62,23,0,0,0,14,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,30,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,34,0,0,0,0,0,0,0,0,0,0,0
ASV0561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0563,0,0,0,0,0,0,0,0,0,12,41,29,41,33,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,29,0,0,28,23,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
ASV0564,0,0,0,0,0,0,0,0,0,0,21,20,20,28,43,33,0,0,0,0,0,15,14,22,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
ASV0565,0,0,0,0,7,0,0,0,0,47,12,25,11,11,4,0,0,8,10,0,0,10,14,31,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,0,12,6,0,0,22
ASV0566,0,0,0,0,0,0,0,0,11,6,17,15,14,16,10,17,13,10,8,8,20,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,3,0,0,0,12,0,0,0,41,0,0,0,10,0,0,0,27,0,0,0,0,0,0,0,0,0
ASV0567,0,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0568,0,0,0,0,12,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0569,0,0,0,0,0,0,0,0,5,8,33,31,50,38,11,14,9,0,0,0,0,10,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
ASV0570,6,0,0,0,14,0,0,0,0,9,9,22,12,14,33,33,12,7,6,8,10,0,15,14,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,6
ASV0571,0,128,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0572,0,0,0,0,225,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0573,0,0,0,0,0,0,0,0,17,0,32,0,0,0,57,35,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,16,0,0,55,0,0,12,0,0,0,0,0,0,0,0,0,0,8,0,0
ASV0574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,48,0,0,0,11,0,47,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,58,0,12,31,26,0,4,0
ASV0575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,37,0,0,0,0,0,0,0,0,97,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0576,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0577,10,0,23,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,13,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,18,11,34
ASV0578,0,0,0,0,0,0,0,0,38,30,32,21,0,31,0,0,35,25,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
ASV0579,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0580,0,0,0,0,0,0,0,0,1,25,7,17,13,16,14,12,1,3,2,0,0,22,22,19,0,10,9,0,0,2,0,0,0,0,0,0,0,0,0,0,15,10,12,0,0,0,14,0,4,6,0,0,0,0,0,0,0,4,0,0,0,0
ASV0581,0,0,0,0,0,0,0,0,9,25,12,21,18,20,0,0,0,13,13,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0582,0,0,0,0,0,0,0,0,0,0,22,20,29,45,22,38,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,6,12,0,0,21,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
ASV0583,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,27,0,0,0,0,33,25,37,0,0,0,0,0,0,0,0,0,0,0,0,79,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0585,0,0,0,8,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,0,110,0,28,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0586,0,0,13,0,0,0,0,0,14,16,18,0,16,12,0,5,25,26,21,9,15,8,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,24,0,0,0,5
ASV0587,0,0,0,0,0,0,0,0,0,0,22,0,27,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,26,0,0,24,0,0,0,0,0,0,0,0,0,0,9
ASV0588,0,3,0,0,0,0,0,0,0,9,17,12,14,29,12,4,8,11,5,5,7,0,0,12,0,10,0,0,0,0,0,0,0,0,0,7,5,10,0,0,0,0,4,0,0,0,52,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0
ASV0589,0,0,0,0,0,0,0,0,0,21,39,22,28,27,59,30,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
ASV0590,0,0,0,0,0,0,0,0,7,11,0,6,10,0,7,7,4,14,7,12,9,4,7,6,0,0,0,24,5,0,0,5,0,0,0,32,0,0,0,0,0,0,0,0,0,9,0,0,52,12,0,0,0,0,0,0,0,0,0,0,0,0
ASV0591,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0
ASV0592,0,27,0,0,0,0,0,0,0,0,41,0,0,0,89,58,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0593,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,82,0,0,0,0,0,0,0,0
ASV0594,0,0,0,0,0,0,0,0,12,16,20,0,17,25,0,0,33,20,13,0,0,11,0,27,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,10,0,0,5
ASV0595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0596,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,14,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,40,18,0,17,0,97,0,0,0,0,0,0,0,0,0,0,0
ASV0597,44,0,138,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
ASV0598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,36,0,33,0,0,0,0,0,15,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0
ASV0599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,68,0,0,0,82,6,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,34,0,0,0
ASV0600,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,15,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,102,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,14,0,0,0,0,0,0,0,0,0
ASV0602,0,94,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0603,0,17,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,83,0,0,15,0,0,0,0,0,0,0,0,0,0,0
ASV0604,0,15,9,0,0,0,3,0,13,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,2,18,13,27,5,10,0,0,0,0,0,0,0,0,0,0,16,0,0,5,0,0,10,50,27,0,2,0,0,0,0,0,0,0,0,0,0,0
ASV0605,0,0,0,0,0,0,17,15,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,165,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0
