,BR10,BR2,BR3,BR4,BR5,BR6,BR7,BR9,ER1,ER10,ER11,ER12,ER13,ER14,ER15,ER16,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,JP1,JP2,JP3,JP4,JP5,JP7,JP8,JP9,KB1,KB10,KB2,KB3,KB4,KB5,KB6,KB9,NM3,NM4,NM5,NM6,NM9,PI1,PI2,PI3,PI4,PI5,PI7,PI8,PI9,WR1,WR10,WR2,WR3,WR4,WR5,WR6,WR7,WR8
ASV0022,0,6401,116,18,12,0,8,11,8,0,0,0,0,0,0,0,12,11,0,6,0,0,0,0,22,8,6,8,0,27,6,15,0,30,8,249,18,32,0,6,8,0,0,0,0,221,12,0,6,0,54,60,0,0,10,5079,56,3,18,0,0,0
ASV0023,5,92,156,31,97,0,0,59,426,334,1371,627,848,1114,1231,565,403,263,109,361,394,231,314,344,15,117,13,122,74,141,0,117,17,19,0,0,168,45,0,18,91,80,165,0,0,244,183,55,103,177,131,0,14,53,45,0,33,98,370,0,0,48
ASV0024,0,0,0,0,0,0,0,0,235,103,9,12,13,21,0,0,209,358,317,131,104,23,39,96,0,0,0,0,0,0,0,0,0,18,0,0,29,3,0,8318,0,4,0,0,1423,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0
ASV0025,0,0,21,0,0,0,5,0,335,38,25,8,14,9,58,90,300,88,122,375,397,57,36,56,11,22,811,298,197,592,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4457,511,186,2248,10,5,0,0,0,0,0,0,0,0,0
ASV0026,4,0,7,4,25,0,0,82,226,13,16,7,7,16,26,41,233,1097,859,33,39,7,13,17,0,0,0,157,0,0,4,0,0,23,0,1410,819,28,0,353,763,0,6,0,7,0,0,0,643,8,0,78,0,0,0,0,3955,235,0,0,0,104
ASV0027,87,95,294,84,184,37,161,119,308,230,568,475,587,684,471,611,358,216,175,590,460,117,209,151,377,49,63,41,276,87,61,189,0,260,0,0,5,31,0,0,28,198,37,81,21,872,75,144,73,269,192,0,128,0,56,7,10,35,26,13,0,231
ASV0028,21,243,315,646,28,0,0,158,180,81,0,0,10,12,27,56,197,89,88,209,280,29,60,79,572,534,515,551,368,210,0,194,37,0,61,150,36,12,0,0,918,17,17,20,0,22,534,392,117,215,111,0,69,1022,0,995,277,21,0,0,333,20
ASV0029,12,120,167,100,56,0,0,55,542,192,275,209,232,299,172,141,433,282,186,391,387,63,178,235,75,82,196,103,107,16,0,75,271,64,449,239,881,74,23,0,84,51,163,0,0,114,185,427,139,121,64,11,27,316,56,147,445,165,375,16,16,199
ASV0030,222,1873,3491,370,972,43,96,664,57,0,0,0,0,0,0,35,62,33,135,100,110,0,0,0,181,107,73,933,28,5,17,22,0,0,0,0,0,0,0,0,0,22,35,75,0,7,8,63,12,0,18,0,29,23,0,474,0,0,0,45,8,8
ASV0031,11,0,0,276,0,0,0,50,0,0,0,0,0,0,243,97,0,0,0,0,0,31,0,22,0,0,0,0,43,0,0,0,0,0,0,19,0,0,0,0,4902,2396,2207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0032,0,0,0,0,0,0,0,0,0,32,0,0,0,0,8,9,0,0,0,6035,3672,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,245,0,0,0,6,11,0,0,0,18,0,0,0,0,0
ASV0033,9,43,55,0,0,0,0,45,12,8,0,0,0,0,10,0,0,0,0,7,5,0,6,0,99,17,0,0,0,20,0,0,0,37,0,0,0,9324,0,0,0,59,47,0,0,71,34,0,8,0,84,0,0,0,0,0,0,0,165,15,0,0
ASV0034,0,0,0,0,160,26,17,0,161,337,989,744,953,664,802,931,192,190,260,179,151,191,349,202,0,0,0,0,72,0,0,50,39,21,85,0,120,65,0,13,0,0,103,65,0,56,27,0,0,96,73,0,78,482,64,0,0,78,680,0,26,130
ASV0035,159,0,165,0,295,0,14,0,851,297,167,353,213,170,386,663,597,225,576,272,215,267,227,290,0,0,0,0,822,0,9,0,0,0,0,0,20,0,0,100,0,0,468,285,364,13,0,0,0,243,0,0,84,0,239,0,601,37,9,99,0,36
ASV0036,43,132,28,0,0,307,52,0,91,34,41,0,0,0,0,67,128,47,18,35,33,0,73,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,1569,370,36,0,0,63,6453,0,0,18,0,0,0,65,0,0,0
ASV0037,0,279,0,155,54,0,13,238,142,0,0,97,220,0,0,142,117,461,520,558,356,0,48,0,0,795,0,0,127,36,0,0,0,0,0,0,0,0,0,0,575,264,135,14,0,0,51,391,2430,960,451,5,0,0,0,0,0,0,0,0,0,0
